transaction_id,item_id,quantity,unit_price,subtotal,created_at
a,3,3,8,24,2024-01-01 15:36:11
b,2,1,7,7,2024-01-01 15:36:11
c,4,2,8,16,2024-01-01 15:36:11
d,7,1,9,9,2024-01-01 15:36:13
e,6,2,9.5,19,2024-01-01 15:36:13
f,6,1,9.5,9.5,2024-01-01 15:36:15
g,4,3,8,24,2024-01-01 15:36:23
h,3,1,8,8,2024-01-01 15:36:23
i,1,2,6,12,2024-01-01 15:36:25
j,8,1,10,10,2024-01-01 15:36:25
k,4,1,8,8,2024-01-01 15:36:26
m,6,3,9.5,28.5,2024-01-01 15:36:26
n,5,2,9,18,2024-01-01 15:36:28
o,7,1,9,9,2024-01-01 15:36:28
p,6,2,9.5,19,2024-01-01 15:36:31
q,1,2,6,12,2024-01-01 15:36:31
r,1,1,6,6,2024-01-01 15:36:33
s,4,3,8,24,2024-01-01 15:36:33
t,4,3,8,24,2024-01-01 15:36:35
u,1,2,6,12,2024-01-01 15:36:35
v,1,2,6,12,2024-01-01 15:36:35
w,3,1,8,8,2024-01-01 15:36:38
x,8,3,10,30,2024-01-01 15:36:39
y,5,2,9,18,2024-01-01 15:36:39
z,6,2,9.5,19,2024-01-01 15:36:39
aa,5,3,9,27,2024-01-01 15:36:43
bb,6,3,9.5,28.5,2024-01-01 15:36:45
cc,5,2,9,18,2024-01-01 15:36:46
dd,4,3,8,24,2024-01-01 15:36:46
ee,3,2,8,16,2024-01-01 15:36:47
ff,1,1,6,6,2024-01-01 15:36:47
gg,2,1,7,7,2024-01-01 15:36:47
hh,5,2,9,18,2024-01-01 15:36:48
ii,5,2,9,18,2024-01-01 15:36:48
jj,3,2,8,16,2024-01-01 15:36:50
kk,3,1,8,8,2024-01-01 15:36:50
mm,8,2,10,20,2024-01-01 15:36:50
nn,6,2,9.5,19,2024-01-01 15:36:51
oo,4,1,8,8,2024-01-01 15:36:51
pp,2,2,7,14,2024-01-01 15:36:53
