store_name,birthdate,purchases_qty
G Coffee @ USJ 89q,1982-09-13,3.0
G Coffee @ USJ 89q,1980-10-04,3.0
G Coffee @ USJ 89q,1995-10-21,4.0
G Coffee @ Kondominium Putra,1993-12-11,4.0
G Coffee @ Kondominium Putra,1989-04-07,3.0
G Coffee @ Kondominium Putra,1984-05-10,3.0
G Coffee @ USJ 57W,2000-07-01,3.0
G Coffee @ USJ 57W,2007-03-14,3.0
G Coffee @ USJ 57W,1996-06-14,3.0
G Coffee @ Kampung Changkat,2000-10-21,3.0
G Coffee @ Kampung Changkat,1986-08-10,3.0
G Coffee @ Kampung Changkat,1977-10-06,4.0
G Coffee @ Seksyen 21,1985-04-13,3.0
G Coffee @ Seksyen 21,1976-06-11,3.0
G Coffee @ Seksyen 21,1989-09-10,3.0
G Coffee @ Alam Tun Hussein Onn,1995-11-01,3.0
G Coffee @ Alam Tun Hussein Onn,1985-05-04,3.0
G Coffee @ Alam Tun Hussein Onn,1974-07-03,3.0
G Coffee @ Damansara Saujana,1999-06-04,3.0
G Coffee @ Damansara Saujana,1996-11-16,3.0
G Coffee @ Damansara Saujana,1982-08-26,3.0
G Coffee @ Bandar Seri Mulia,1965-02-07,4.0
G Coffee @ Bandar Seri Mulia,1991-01-31,3.0
G Coffee @ Bandar Seri Mulia,1971-02-16,3.0
G Coffee @ PJS8,1999-07-11,4.0
G Coffee @ PJS8,2008-04-21,3.0
G Coffee @ PJS8,2003-11-02,3.0
G Coffee @ Taman Damansara,2006-09-13,4.0
G Coffee @ Taman Damansara,1972-09-23,3.0
G Coffee @ Taman Damansara,1995-10-17,3.0
